validation_rep	validation_fold	rf_model_name	rf_num_features	rf_auroc_mean	rf_auroc_stdv	rf_auprc_mean	rf_auprc_stdv	lr_model_name	lr_num_features	lr_auroc_mean	lr_auroc_stdv	lr_auprc_mean	lr_auprc_stdv
77	3	M8_rf	3	0.639	0.026	0.845	0.0169	M7_lr	4	0.656	0.0201	0.804	0.0123
77	4	M2_rf	2	0.685	0.0224	0.866	0.0115	M1_lr	3	0.633	0.00851	0.826	0.00943
78	0	M2_rf	2	0.618	0.0254	0.848	0.0142	M3_lr	1	0.599	0.0045	0.842	0.00308
78	1	M0_rf	2	0.615	0.0341	0.821	0.0261	M1_lr	1	0.574	0.00931	0.794	0.00797
78	2	M1_rf	2	0.631	0.0284	0.755	0.0138	M2_lr	1	0.68	0.0111	0.804	0.0139
78	3	M0_rf	2	0.647	0.026	0.86	0.0147	M1_lr	1	0.586	0.00668	0.839	0.00551
78	4	M3_rf	4	0.757	0.0201	0.872	0.0132	M5_lr	2	0.772	0.00597	0.905	0.00425
79	0	M3_rf	2	0.693	0.019	0.875	0.0142	M2_lr	3	0.653	0.0109	0.85	0.00866
79	1	M0_rf	1	0.494	0.0343	0.751	0.0128	M0_lr	1	0.57	0.00763	0.798	0.00946
79	2	M0_rf	2	0.636	0.0269	0.854	0.0146	M1_lr	1	0.587	0.00581	0.834	0.00401
79	3	M3_rf	3	0.658	0.0214	0.85	0.0125	M0_lr	6	0.674	0.0193	0.837	0.0143
79	4	M0_rf	2	0.63	0.0234	0.841	0.0132	M1_lr	1	0.619	0.01	0.808	0.00728
80	0	M1_rf	3	0.683	0.0211	0.849	0.0142	M3_lr	1	0.576	0.0101	0.807	0.00994
80	1	M0_rf	2	0.55	0.0229	0.81	0.0123	M1_lr	1	0.565	0.00997	0.831	0.00727
80	2	M0_rf	4	0.685	0.0161	0.862	0.00993	M3_lr	1	0.657	0.00418	0.869	0.00279
80	3	M0_rf	2	0.584	0.0181	0.836	0.0109	M1_lr	1	0.579	0.00519	0.839	0.00377
80	4	M1_rf	6	0.635	0.0187	0.778	0.00766	M1_lr	6	0.735	0.0187	0.828	0.0155
81	0	M2_rf	2	0.69	0.0232	0.833	0.0122	M2_lr	2	0.642	0.0111	0.831	0.0101
81	1	M0_rf	2	0.616	0.02	0.838	0.0134	M1_lr	1	0.605	0.00503	0.851	0.00385
81	2	M2_rf	3	0.619	0.021	0.847	0.0123	M3_lr	2	0.614	0.0074	0.824	0.00616
81	3	M0_rf	2	0.565	0.0218	0.787	0.0155	M1_lr	1	0.641	0.00698	0.812	0.00887
81	4	M4_rf	3	0.662	0.0226	0.858	0.0191	M5_lr	2	0.642	0.0108	0.845	0.00849
82	0	M0_rf	2	0.587	0.0328	0.825	0.0183	M1_lr	1	0.58	0.00922	0.835	0.00827
82	1	M0_rf	3	0.596	0.0299	0.812	0.0197	M2_lr	1	0.615	0.00647	0.81	0.00426
82	2	M7_rf	2	0.711	0.0236	0.815	0.0135	M8_lr	1	0.726	0.00866	0.848	0.0063
82	3	M1_rf	1	0.636	0.0196	0.794	0.0103	M1_lr	1	0.609	0.00613	0.841	0.00584
82	4	M1_rf	2	0.641	0.0303	0.849	0.0186	M1_lr	2	0.646	0.00919	0.853	0.00495
83	0	M1_rf	3	0.665	0.0166	0.84	0.0143	M0_lr	4	0.625	0.0173	0.809	0.0119
83	1	M0_rf	2	0.664	0.0227	0.871	0.0149	M1_lr	1	0.576	0.00611	0.84	0.00439
83	2	M4_rf	4	0.684	0.0234	0.866	0.0157	M5_lr	3	0.701	0.00953	0.858	0.0094
83	3	M0_rf	1	0.508	0.0286	0.757	0.0126	M0_lr	1	0.537	0.00824	0.774	0.00604
83	4	M0_rf	4	0.571	0.0276	0.79	0.0191	M0_lr	4	0.702	0.017	0.834	0.0126
84	0	M3_rf	3	0.692	0.0218	0.873	0.0144	M5_lr	1	0.601	0.00382	0.843	0.00275
84	1	M0_rf	2	0.597	0.0237	0.789	0.0189	M1_lr	1	0.581	0.00866	0.805	0.00976
84	2	M0_rf	3	0.562	0.0239	0.795	0.0153	M2_lr	1	0.601	0.00539	0.793	0.00706
84	3	M1_rf	2	0.672	0.0276	0.865	0.0156	M2_lr	1	0.608	0.00638	0.848	0.00416
84	4	M0_rf	1	0.565	0.0266	0.757	0.0139	M0_lr	1	0.631	0.00813	0.829	0.00812
85	0	M3_rf	3	0.784	0.0248	0.879	0.0205	M4_lr	2	0.739	0.00927	0.864	0.0117
85	1	M2_rf	3	0.626	0.0232	0.838	0.0155	M4_lr	1	0.578	0.00975	0.831	0.00771
