dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
NURSA Protein Complexes	nursa	BL327 (RFXAP)	-0.069544	0.089919	1	0	-1		BL327 (RFXAP)
NURSA Protein Complexes	nursa	BL1099 (HIPK2)	-0.049478	0.14528	1	0	-1		BL1099 (HIPK2)
NURSA Protein Complexes	nursa	BL6754 (PHF8)	-0.040132	0.24525	1	0	-1		BL6754 (PHF8)
NURSA Protein Complexes	nursa	BL1462 (MAD2L1)	-0.02144	0.63045	1	0	-1		BL1462 (MAD2L1)
NURSA Protein Complexes	nursa	BL4935 (TRIM47)	-0.040132	0.24525	1	0	-1		BL4935 (TRIM47)
NURSA Protein Complexes	nursa	BL4923 (TRIM29)	-0.030786	0.5928	1	0	-1		BL4923 (TRIM29)
NURSA Protein Complexes	nursa	BL3632 (KDM2A)	-0.02144	0.632	1	0	-1		BL3632 (KDM2A)
NURSA Protein Complexes	nursa	BL1874 (NCOA6)	0.028037	0.58175	1	0	1		BL1874 (NCOA6)
NURSA Protein Complexes	nursa	EPI-2602-1 (COPS3)	-0.01072	1	1	0	-1		EPI-2602-1 (COPS3)
NURSA Protein Complexes	nursa	BL2920 (SPHK1)	-0.030786	0.59357	1	0	-1		BL2920 (SPHK1)
NURSA Protein Complexes	nursa	BL3624 (DTX3L)	-0.040132	0.24643	1	0	-1		BL3624 (DTX3L)
NURSA Protein Complexes	nursa	BL4422 (ZRANB2)	-0.040132	0.2446	1	0	-1		BL4422 (ZRANB2)
NURSA Protein Complexes	nursa	BL5777 (WTAP)	-0.069544	0.091469	1	0	-1		BL5777 (WTAP)
NURSA Protein Complexes	nursa	BL7055 (REL)	0.028037	0.58175	1	0	1		BL7055 (REL)
NURSA Protein Complexes	nursa	BL1780 (C21orf7)	-0.040132	0.24599	1	0	-1		BL1780 (C21orf7)
NURSA Protein Complexes	nursa	EPI-2341-1 (CDK4)	-0.049478	0.14528	1	0	-1		EPI-2341-1 (CDK4)
NURSA Protein Complexes	nursa	BL1569 (TRIM21)	-0.0013744	1	1	0	-1		BL1569 (TRIM21)
NURSA Protein Complexes	nursa	CBC582 (KDM5C)	-0.01072	1	1	0	-1		CBC582 (KDM5C)
NURSA Protein Complexes	nursa	BL5549 (DEK)	-0.080264	0.096119	1	0	-1		BL5549 (DEK)
NURSA Protein Complexes	nursa	BL2761 (MED17)	-0.040132	0.2465	1	0	-1		BL2761 (MED17)
NURSA Protein Complexes	nursa	CBC183 (BICD2)	-0.01072	1	1	0	-1		CBC183 (BICD2)
NURSA Protein Complexes	nursa	BL595 (APTX)	-0.080264	0.094819	1	0	-1		BL595 (APTX)
NURSA Protein Complexes	nursa	BL7740 (CCNK)	-0.01072	1	1	0	-1		BL7740 (CCNK)
NURSA Protein Complexes	nursa	BL2769 (PRMT2)	-0.030786	0.59551	1	0	-1		BL2769 (PRMT2)
NURSA Protein Complexes	nursa	BL2763 (HNRNPU)	-0.040132	0.2465	1	0	-1		BL2763 (HNRNPU)
NURSA Protein Complexes	nursa	BL1550 (HIPK2)	-0.01072	1	1	0	-1		BL1550 (HIPK2)
NURSA Protein Complexes	nursa	BL313 (SMC3)	-0.02144	0.63091	1	0	-1		BL313 (SMC3)
NURSA Protein Complexes	nursa	BL4839 (WDHD1)	-0.040132	0.24484	1	0	-1		BL4839 (WDHD1)
NURSA Protein Complexes	nursa	BL531 (MCM10)	-0.060198	0.1516	1	0	-1		BL531 (MCM10)
NURSA Protein Complexes	nursa	SC-543 (ESR1)	-0.02144	0.63229	1	0	-1		SC-543 (ESR1)
NURSA Protein Complexes	nursa	BL8524 (CLASP2)	-0.01072	1	1	0	-1		BL8524 (CLASP2)
NURSA Protein Complexes	nursa	BL2760 (MED17)	-0.01072	1	1	0	-1		BL2760 (MED17)
NURSA Protein Complexes	nursa	BL5038 (CHD8)	-0.069544	0.091469	1	0	-1		BL5038 (CHD8)
NURSA Protein Complexes	nursa	BL8514 (CKAP2)	-0.080264	0.097089	1	0	-1		BL8514 (CKAP2)
NURSA Protein Complexes	nursa	BL757 (BANP)	-0.060198	0.1516	1	0	-1		BL757 (BANP)
NURSA Protein Complexes	nursa	BL1004 (ATF7IP)	-0.040132	0.2465	1	0	-1		BL1004 (ATF7IP)
NURSA Protein Complexes	nursa	BL1730 (SPEN)	-0.02144	0.62935	1	0	-1		BL1730 (SPEN)
NURSA Protein Complexes	nursa	BL6380 (BCAR1)	-0.01072	1	1	0	-1		BL6380 (BCAR1)
NURSA Protein Complexes	nursa	BL4277 (TIMELESS)	-0.01072	1	1	0	-1		BL4277 (TIMELESS)
NURSA Protein Complexes	nursa	BL2271 (TCF12)	-0.01072	1	1	0	-1		BL2271 (TCF12)
NURSA Protein Complexes	nursa	BL3628 (KDM3A)	-0.040132	0.24682	1	0	-1		BL3628 (KDM3A)
NURSA Protein Complexes	nursa	BL2989 (RBBP7)	-0.08961	0.059229	1	0	-1		BL2989 (RBBP7)
NURSA Protein Complexes	nursa	SC-6243 (TP53)	-0.08961	0.057909	1	0	-1		SC-6243 (TP53)
NURSA Protein Complexes	nursa	CBC2031 (ZMYND8)	-0.08961	0.057959	1	0	-1		CBC2031 (ZMYND8)
NURSA Protein Complexes	nursa	BL2776 (NF2)	-0.08961	0.058139	1	0	-1		BL2776 (NF2)
NURSA Protein Complexes	nursa	BL4950 (HMGN3)	-0.049478	0.14528	1	0	-1		BL4950 (HMGN3)
NURSA Protein Complexes	nursa	BL2218 (HPS3)	-0.01072	1	1	0	-1		BL2218 (HPS3)
NURSA Protein Complexes	nursa	BL3513 (KDM4A)	-0.030786	0.59396	1	0	-1		BL3513 (KDM4A)
NURSA Protein Complexes	nursa	BL2845 (MED27)	-0.040132	0.24525	1	0	-1		BL2845 (MED27)
NURSA Protein Complexes	nursa	BL8106 (AHDC1)	-0.040132	0.2465	1	0	-1		BL8106 (AHDC1)
NURSA Protein Complexes	nursa	BL1805 (MTA1)	-0.040132	0.24484	1	0	-1		BL1805 (MTA1)
NURSA Protein Complexes	nursa	BL2685 (ZBTB7A)	-0.040132	0.24467	1	0	-1		BL2685 (ZBTB7A)
NURSA Protein Complexes	nursa	BL6997 (ZKSCAN1)	-0.01072	1	1	0	-1		BL6997 (ZKSCAN1)
NURSA Protein Complexes	nursa	BL5646 (ANKIB1)	-0.01072	1	1	0	-1		BL5646 (ANKIB1)
NURSA Protein Complexes	nursa	BL6881 (TSGA14)	-0.040132	0.24525	1	0	-1		BL6881 (TSGA14)
NURSA Protein Complexes	nursa	BL2272 (TCF12)	-0.069544	0.091469	1	0	-1		BL2272 (TCF12)
NURSA Protein Complexes	nursa	SC-6954 (BRCA1)	-0.030786	0.59371	1	0	-1		SC-6954 (BRCA1)
NURSA Protein Complexes	nursa	BL2250 (HPS5)	-0.01072	1	1	0	-1		BL2250 (HPS5)
NURSA Protein Complexes	nursa	BL2602 (MED24)	-0.01072	1	1	0	-1		BL2602 (MED24)
NURSA Protein Complexes	nursa	BL1752 (MED14)	-0.01072	1	1	0	-1		BL1752 (MED14)
NURSA Protein Complexes	nursa	BL2758 (MED17)	-0.0013744	1	1	0	-1		BL2758 (MED17)
NURSA Protein Complexes	nursa	BL6318 (PHF12)	-0.040132	0.2465	1	0	-1		BL6318 (PHF12)
NURSA Protein Complexes	nursa	CBC181 (BICD2)	-0.040132	0.2465	1	0	-1		CBC181 (BICD2)
NURSA Protein Complexes	nursa	PHF8 (PHF8)	-0.01072	1	1	0	-1		PHF8 (PHF8)
NURSA Protein Complexes	nursa	BL1686 (BUB3)	-0.098955	0.03003	1	0	-1		BL1686 (BUB3)
NURSA Protein Complexes	nursa	BL1796 (BCL11A)	-0.040132	0.24531	1	0	-1		BL1796 (BCL11A)
NURSA Protein Complexes	nursa	BL-ATM (ATM)	-0.030786	0.59186	1	0	-1		BL-ATM (ATM)
NURSA Protein Complexes	nursa	BL1740 (CDK7)	-0.040132	0.2465	1	0	-1		BL1740 (CDK7)
NURSA Protein Complexes	nursa	BL3936 (PPP5C)	-0.040132	0.24525	1	0	-1		BL3936 (PPP5C)
NURSA Protein Complexes	nursa	BL5763 (IRS2)	-0.050852	0.35871	1	0	-1		BL5763 (IRS2)
NURSA Protein Complexes	nursa	BL7432 (ZNF326)	-0.040132	0.24525	1	0	-1		BL7432 (ZNF326)
NURSA Protein Complexes	nursa	BL6582 (NUMB)	-0.060198	0.15041	1	0	-1		BL6582 (NUMB)
NURSA Protein Complexes	nursa	BL2666 (HDAC2)	-0.0013744	1	1	0	-1		BL2666 (HDAC2)
NURSA Protein Complexes	nursa	BL2608 (HDAC1)	-0.069544	0.091469	1	0	-1		BL2608 (HDAC1)
NURSA Protein Complexes	nursa	BL5999 (FOXM1)	-0.040132	0.2465	1	0	-1		BL5999 (FOXM1)
NURSA Protein Complexes	nursa	BL1800 (BCL11B)	-0.01072	1	1	0	-1		BL1800 (BCL11B)
NURSA Protein Complexes	nursa	CBC42 (NAT10)	-0.040132	0.2465	1	0	-1		CBC42 (NAT10)
NURSA Protein Complexes	nursa	SC-67041 (PRAME)	-0.069544	0.091469	1	0	-1		SC-67041 (PRAME)
NURSA Protein Complexes	nursa	BL2995 (CRTC2)	-0.060198	0.15069	1	0	-1		BL2995 (CRTC2)
NURSA Protein Complexes	nursa	BL735 (TERF2IP)	-0.040132	0.2465	1	0	-1		BL735 (TERF2IP)
NURSA Protein Complexes	nursa	BL840 (UBE2A)	-0.08961	0.057959	1	0	-1		BL840 (UBE2A)
NURSA Protein Complexes	nursa	BL2441 (RNF4)	-0.060198	0.15185	1	0	-1		BL2441 (RNF4)
NURSA Protein Complexes	nursa	BL4165 (DTL)	-0.040132	0.24525	1	0	-1		BL4165 (DTL)
NURSA Protein Complexes	nursa	BL2467 (SEC16A)	-0.01072	1	1	0	-1		BL2467 (SEC16A)
NURSA Protein Complexes	nursa	BL325 (NCOA2)	-0.01072	1	1	0	-1		BL325 (NCOA2)
NURSA Protein Complexes	nursa	BL2712 (FANCE)	-0.012095	1	1	0	-1		BL2712 (FANCE)
NURSA Protein Complexes	nursa	BL1103 (CENPB)	-0.040132	0.24525	1	0	-1		BL1103 (CENPB)
NURSA Protein Complexes	nursa	BL6494 (ESCO2)	-0.060198	0.15277	1	0	-1		BL6494 (ESCO2)
NURSA Protein Complexes	nursa	BL2286 (ZC3H13)	-0.069544	0.091469	1	0	-1		BL2286 (ZC3H13)
NURSA Protein Complexes	nursa	BL1869 (TRIP4)	-0.030786	0.59439	1	0	-1		BL1869 (TRIP4)
NURSA Protein Complexes	nursa	BL2779 (SUV39H1)	-0.040132	0.2465	1	0	-1		BL2779 (SUV39H1)
NURSA Protein Complexes	nursa	CBC691 (GTPBP2)	-0.030786	0.59332	1	0	-1		CBC691 (GTPBP2)
NURSA Protein Complexes	nursa	BL6998 (ZKSCAN1)	-0.040132	0.2465	1	0	-1		BL6998 (ZKSCAN1)
NURSA Protein Complexes	nursa	BL2768 (PRMT2)	-0.030786	0.59552	1	0	-1		BL2768 (PRMT2)
NURSA Protein Complexes	nursa	BL7836 (PDLIM7)	-0.030786	0.59068	1	0	-1		BL7836 (PDLIM7)
NURSA Protein Complexes	nursa	BL4941 (TRIM3)	-0.030786	0.59504	1	0	-1		BL4941 (TRIM3)
NURSA Protein Complexes	nursa	BL7633 (COBRA1)	-0.060198	0.15129	1	0	-1		BL7633 (COBRA1)
NURSA Protein Complexes	nursa	BL2799 (CCNA1)	-0.069544	0.091469	1	0	-1		BL2799 (CCNA1)
NURSA Protein Complexes	nursa	BL2800 (CCNA1)	-0.069544	0.091469	1	0	-1		BL2800 (CCNA1)
NURSA Protein Complexes	nursa	BL7111 (SATB2)	-0.030786	0.59396	1	0	-1		BL7111 (SATB2)
NURSA Protein Complexes	nursa	BL2793 (TRIM24)	-0.030786	0.59298	1	0	-1		BL2793 (TRIM24)
NURSA Protein Complexes	nursa	BL1797 (BCL11A)	-0.01072	1	1	0	-1		BL1797 (BCL11A)
NURSA Protein Complexes	nursa	BL2792 (TRIM24)	-0.040132	0.2465	1	0	-1		BL2792 (TRIM24)
NURSA Protein Complexes	nursa	BL6636 (FOXK2)	-0.069544	0.091469	1	0	-1		BL6636 (FOXK2)
NURSA Protein Complexes	nursa	BL3841 (KDM5B)	-0.040132	0.24525	1	0	-1		BL3841 (KDM5B)
NURSA Protein Complexes	nursa	BL7546 (FOXP3)	-0.02144	0.63075	1	0	-1		BL7546 (FOXP3)
NURSA Protein Complexes	nursa	BL2381 (TAOK1)	-0.069544	0.091469	1	0	-1		BL2381 (TAOK1)
NURSA Protein Complexes	nursa	BL1682 (BUB1)	-0.069544	0.091469	1	0	-1		BL1682 (BUB1)
NURSA Protein Complexes	nursa	BL2764 (HNRNPU)	-0.060198	0.15067	1	0	-1		BL2764 (HNRNPU)
NURSA Protein Complexes	nursa	BL1053 (N4BP2)	-0.030786	0.59512	1	0	-1		BL1053 (N4BP2)
NURSA Protein Complexes	nursa	BL4957 (ZNHIT3)	-0.040132	0.2465	1	0	-1		BL4957 (ZNHIT3)
NURSA Protein Complexes	nursa	BL1258 (MDM4)	-0.040132	0.2465	1	0	-1		BL1258 (MDM4)
NURSA Protein Complexes	nursa	BL2607 (HDAC1)	-0.069544	0.089919	1	0	-1		BL2607 (HDAC1)
NURSA Protein Complexes	nursa	BL6238 (TRERF1)	-0.060198	0.15236	1	0	-1		BL6238 (TRERF1)
NURSA Protein Complexes	nursa	BL1002 (ATF7IP)	-0.069544	0.091469	1	0	-1		BL1002 (ATF7IP)
NURSA Protein Complexes	nursa	BL3964 (PES1)	-0.049478	0.14528	1	0	-1		BL3964 (PES1)
