dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
BioGRID Protein-Protein Interactions	biogrid	RPL36	-0.055517	0.0083999	0.83385	0	-1		RPL36
BioGRID Protein-Protein Interactions	biogrid	RPS27A	-0.044776	0.01036	0.83385	0	-1		RPS27A
BioGRID Protein-Protein Interactions	biogrid	HIST1H1D	-0.044776	0.01045	0.83385	0	-1		HIST1H1D
BioGRID Protein-Protein Interactions	biogrid	EIF3B	-0.055517	0.0091099	0.83385	0	-1		EIF3B
BioGRID Protein-Protein Interactions	biogrid	EIF3L	-0.044776	0.01045	0.83385	0	-1		EIF3L
BioGRID Protein-Protein Interactions	biogrid	BUB3	-0.055517	0.0089699	0.83385	0	-1		BUB3
BioGRID Protein-Protein Interactions	biogrid	KPNA2	-0.044776	0.01036	0.83385	0	-1		KPNA2
BioGRID Protein-Protein Interactions	biogrid	MYOC	-0.044776	0.01002	0.83385	0	-1		MYOC
BioGRID Protein-Protein Interactions	biogrid	VIM	-0.055517	0.0089999	0.83385	0	-1		VIM
BioGRID Protein-Protein Interactions	biogrid	RPL18	-0.036959	0.0081099	0.83385	0	-1		RPL18|RPL21|RPL6|RPL19|RPL14|RPL12|RPL4|RPL7|RPL11|RPL7A
BioGRID Protein-Protein Interactions	biogrid	TIAL1	-0.044776	0.0097499	0.83385	0	-1		TIAL1
BioGRID Protein-Protein Interactions	biogrid	RPS16	-0.044167	0.0070299	0.83385	0	-1		RPS16|RPS23|RPS3A
BioGRID Protein-Protein Interactions	biogrid	mean	-0.0035558	0.00359	0.83385	0	-1	mean	mean
BioGRID Protein-Protein Interactions	biogrid	LIG3	-0.044776	0.01018	0.83385	0	-1		LIG3
BioGRID Protein-Protein Interactions	biogrid	TGM2	-0.055517	0.0091799	0.83385	0	-1		TGM2
BioGRID Protein-Protein Interactions	biogrid	MOV10	-0.071076	0.00481	0.83385	0	-1		MOV10|NXF1
