dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	cat-scratch disease	-0.085404	0.02577	1	0	-1		cat-scratch disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	carrion's disease	-0.026785	0.86588	1	0	-1		carrion's disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	tricuspid valve disease	0.01198	0.30321	1	0	1		tricuspid valve disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pulmonary valve insufficiency	0.038973	0.45038	1	0	1		pulmonary valve insufficiency
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	mitral valve stenosis	0.078402	0.1838	1	0	1		mitral valve stenosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pulmonary venoocclusive disease	0.024981	0.59736	1	0	1		pulmonary venoocclusive disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hydronephrosis	0.07613	0.19553	1	0	1		hydronephrosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	renal tubular transport disease	0.25945	0.02315	1	0	1		renal tubular transport disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	optic papillitis	0.022946	0.51831	1	0	1		optic papillitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	multiple chemical sensitivity	-0.009905	0.68312	1	0	-1		multiple chemical sensitivity
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	kernicterus	0.0007374	1	1	0	1		kernicterus
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	crimean-congo hemorrhagic fever	0.007093	1	1	0	1		crimean-congo hemorrhagic fever
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myositis ossificans	0.0034997	0.89465	1	0	1		myositis ossificans
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	acrodermatitis	0.021062	0.59759	1	0	1		acrodermatitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	fibrodysplasia ossificans progressiva	0.0017568	0.98524	1	0	1		fibrodysplasia ossificans progressiva
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	basilar artery occlusion	0.039868	0.73155	1	0	1		basilar artery occlusion
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	scurvy	0.0035245	0.8813	1	0	1		scurvy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hypobetalipoproteinemia	0.065717	0.52158	1	0	1		hypobetalipoproteinemia
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	xanthomatosis	0.046777	0.39674	1	0	1		xanthomatosis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	moyamoya disease	0.0049309	0.92938	1	0	1		moyamoya disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	papilledema	0.058003	0.19993	1	0	1		papilledema
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	pseudotumor cerebri	0.041092	0.31811	1	0	1		pseudotumor cerebri
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	myofascial pain syndrome	0.027202	0.59588	1	0	1		myofascial pain syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	burning mouth syndrome	0.035661	0.45053	1	0	1		burning mouth syndrome
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	intussusception	0.041012	0.39971	1	0	1		intussusception
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	photoallergic dermatitis	0.019074	0.59823	1	0	1		photoallergic dermatitis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	gastroesophageal reflux disease	0.093752	0.36066	1	0	1		gastroesophageal reflux disease
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	eosinophilic gastritis	-0.0058275	1	1	0	-1		eosinophilic gastritis
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	lipodystrophy	0.015636	0.83782	1	0	1		lipodystrophy
DISEASES Text-mining Gene-Disease Assocation Evidence Scores - Cleaned	jensendiseasetextmining_cleaned	hypoactive sexual desire disorder	0.05474	0.42353	1	0	1		hypoactive sexual desire disorder
