dataset	abbreviation	feature	test_statistic	pvalue	pvalue_corrected	is_significant	correlation_sign	preferred_rowstat	similar_features
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Non-alcoholic Fatty Liver Disease	0.022485	0.24384	1	0	1		Non-alcoholic Fatty Liver Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Facial Nerve Diseases	-0.00046968	0.083589	1	0	-1		Facial Nerve Diseases
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Acquired Hyperostosis Syndrome	-1.197e-05	0.96991	1	0	-1		Acquired Hyperostosis Syndrome
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Brain Injuries	-0.015627	0.56679	1	0	-1		Brain Injuries
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Polyarteritis Nodosa	-0.00010048	0.90825	1	0	-1		Polyarteritis Nodosa
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Cytomegalovirus Retinitis	4.9135e-05	0.81973	1	0	1		Cytomegalovirus Retinitis
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Pulmonary Heart Disease	0.0003119	0.51055	1	0	1		Pulmonary Heart Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Self Mutilation	0.00029511	0.67928	1	0	1		Self Mutilation
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Aneurysm, Ruptured	0.00047308	0.62148	1	0	1		Aneurysm, Ruptured
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Ichthyosis, X-Linked	0.00014605	0.32004	1	0	1		Ichthyosis, X-Linked
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Myositis, Inclusion Body	-5.0219e-05	0.86108	1	0	-1		Myositis, Inclusion Body
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Malabsorption Syndromes	9.9104e-05	0.5421	1	0	1		Malabsorption Syndromes
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Intervertebral Disc Displacement	0.00041562	0.078579	1	0	1		Intervertebral Disc Displacement
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Rectal Neoplasms	-0.01017	0.16476	1	0	-1		Rectal Neoplasms
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hypertension, Renal	0.0057406	0.28879	1	0	1		Hypertension, Renal
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Hemophilia A	0.0075122	0.92691	1	0	1		Hemophilia A
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Respiratory Syncytial Virus Infections	-0.0099009	0.26459	1	0	-1		Respiratory Syncytial Virus Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Leukemia-Lymphoma, Adult T-Cell	-0.003515	0.6021	1	0	-1		Leukemia-Lymphoma, Adult T-Cell
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Peptic Ulcer	0.0080897	0.60081	1	0	1		Peptic Ulcer
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Darier Disease	8.4345e-05	0.73215	1	0	1		Darier Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Lafora Disease	-0.0002529	0.03442	1	0	-1		Lafora Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Retinitis Pigmentosa	0.003196	0.96476	1	0	1		Retinitis Pigmentosa
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Meningococcal Infections	0.0034888	0.96818	1	0	1		Meningococcal Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Death, Sudden, Cardiac	0.0012646	0.40328	1	0	1		Death, Sudden, Cardiac
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Herpesviridae Infections	0.0042098	0.25896	1	0	1		Herpesviridae Infections
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Leukemia, Myelomonocytic, Juvenile	-0.00018916	0.086559	1	0	-1		Leukemia, Myelomonocytic, Juvenile
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Anophthalmos	-0.00081432	0.11307	1	0	-1		Anophthalmos
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Mycobacterium Infections, Nontuberculous	0.0073872	0.99213	1	0	1		Mycobacterium Infections, Nontuberculous
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Strabismus	-2.7246e-05	0.95839	1	0	-1		Strabismus
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Charcot-Marie-Tooth Disease	-0.00040588	0.083699	1	0	-1		Charcot-Marie-Tooth Disease
CTD Gene-Disease Associations - Cleaned	ctddisease_cleaned	Thyroid cancer, follicular	0.003402	0.89363	1	0	1		Thyroid cancer, follicular
